CustomerKey,Customer Code,Title,Name,Birth Date,Marital Status,Gender,Yearly Income,Total Children,Children At Home,Education,Occupation,House Ownership,Cars Owned,Continent,City,State,CountryRegion,Address Line 1,Address Line 2,Phone,Date First Purchase,Customer Type,Company Name
25,11024,,"Xie, Russell",1978-09-17T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Concord,California,United States,8734 Oxford Place,,746-555-0186,2003-12-29T00:00:00,Person,
37,11036,,"Russell, Jennifer",1978-12-18T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,National City,California,United States,3981 Augustine Drive,,115-555-0183,2003-07-26T00:00:00,Person,
42,11041,,"Carter, Amanda",1977-10-16T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,5826 Escobar,,295-555-0145,2003-07-18T00:00:00,Person,
44,11043,,"Simmons, Nathan",1976-02-24T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,1170 Shaw Rd,,296-555-0181,2003-11-09T00:00:00,Person,
929,11928,,"Morris, Isabella",1978-09-07T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,El Cajon,California,United States,8487 Amador,,693-555-0146,2003-12-02T00:00:00,Person,
939,11938,,"Alexander, Seth",1977-09-21T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Daly City,California,United States,3842 Algiers Dr.,,178-555-0186,2003-09-08T00:00:00,Person,
955,11954,,"Garcia, Joseph",1975-08-17T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,1220 Bradford Way,,594-555-0120,2002-05-04T00:00:00,Person,
956,11955,,"Green, Gabriel",1975-04-05T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,6991 Gloria Terr.,,149-555-0162,2002-05-01T00:00:00,Person,
2031,13030,,"Lopez, Sophia",1977-07-13T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Coronado,California,United States,4855 Wawona Lane,,123-555-0170,2004-03-12T00:00:00,Person,
2987,13986,,"Anderson, Chloe",1979-10-25T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Spring Valley,California,United States,3118 Creekside Drive,,913-555-0176,2002-07-11T00:00:00,Person,
2994,13993,,"Patterson, Zachary",1978-08-24T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Burlingame,California,United States,7814 New Court,,149-555-0161,2002-07-10T00:00:00,Person,
3005,14004,,"Kelly, Caitlin",1977-04-13T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Daly City,California,United States,5936 Second Ave,,904-555-0116,2004-02-27T00:00:00,Person,
4012,15011,,"Mitchell, Amber",1977-11-13T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Downey,California,United States,5537 Baltic Sea Ct.,,802-555-0115,2004-01-10T00:00:00,Person,
4429,15428,,"Howard, Richard",1979-05-01T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Spring Valley,California,United States,5391 Ashford Court,,321-555-0115,2002-12-17T00:00:00,Person,
4433,15432,,"Kumar, Alvin",1978-08-18T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Colma,California,United States,3612 Vista Place,,768-555-0154,2002-12-23T00:00:00,Person,
5020,16019,,"Hernandez, Amber",1979-02-02T00:00:00,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Torrance,California,United States,4021 Rosemarie Place,,833-555-0127,2004-02-11T00:00:00,Person,
5337,16336,,"Wright, Jonathan",1977-06-08T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Downey,California,United States,5101 Camino Peral,,164-555-0112,2004-04-03T00:00:00,Person,
5357,16356,,"Baker, Sophia",1975-12-18T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Palo Alto,California,United States,2532 Jacqueline Drive,,199-555-0115,2004-01-16T00:00:00,Person,
5491,16490,,"Robinson, Megan",1980-05-17T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,San Gabriel,California,United States,6003 San Vincente Drive,,506-555-0188,2003-11-20T00:00:00,Person,
5504,16503,,"Anderson, Christian",1975-03-02T00:00:00,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Mill Valley,California,United States,6019 Ironwood Way,,367-555-0132,2003-11-18T00:00:00,Person,
5653,16652,,"Richardson, Nicole",1973-08-06T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,La Jolla,California,United States,2687 Gilberto,,302-555-0112,2004-01-25T00:00:00,Person,
6481,17480,,"Gonzalez, Lucas",1978-08-20T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Mill Valley,California,United States,304 Diver Way,,213-555-0171,2003-12-19T00:00:00,Person,
6507,17506,,"Simmons, Alexandria",1973-04-19T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Berkeley,California,United States,5970 Meadowbrook Court,,117-555-0117,2003-08-07T00:00:00,Person,
7449,18448,,"Bailey, Jennifer",1978-01-02T00:00:00,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Long Beach,California,United States,893 Thornwood Drive,,508-555-0164,2004-04-15T00:00:00,Person,
7455,18454,,"Perez, George",1977-11-23T00:00:00,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Burbank,California,United States,9365 G St.,,296-555-0110,2003-08-02T00:00:00,Person,
